Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
1470	-29.3889	-23.4327	-5.95616	0.01	1.487793	-2.380377	0.004165078
1480	-32.1033	-22.0231	-10.0802	0.01	3.50954	-1.932918	0.01167029
1490	-29.0582	-23.9191	-5.13913	0.01	1.060243	-1.962699	0.01089684
1500	-28.704	-23.6583	-5.04573	0.01	1.000796	-2.344347	0.004525361
1510	-28.8992	-23.4144	-5.48487	0.01	1.253151	-2.283171	0.005209897
1520	-30.1929	-24.2389	-5.95392	0.01	0.3177249	-2.247924	0.005650362
1530	-30.115	-25.3045	-4.81049	0.01	0.58941	-2.887117	0.001296829
1540	-28.684	-23.8827	-4.80125	0.01	0.7888198	-2.401043	0.003971523
1550	-28.8778	-23.3585	-5.51929	0.01	1.271022	-2.232745	0.005851333
1560	-30.6885	-22.7895	-7.89905	0.01	2.404042	-2.286381	0.005171533
1570	-29.1982	-24.2549	-4.94333	0.01	0.5091351	-2.089278	0.008141822
1580	-29.1151	-23.189	-5.92612	0.01	1.473305	-2.182721	0.006565674
1590	-28.874	-23.3741	-5.49995	0.01	1.261001	-2.114144	0.007688752
1600	-32.0735	-22.5033	-9.57019	0.01	3.239137	-2.307999	0.00492041
1610	-30.5944	-23.4871	-7.10722	0.01	2.029067	-1.817353	0.01522813
1620	-30.6132	-22.4864	-8.12678	0.01	2.513867	-2.077396	0.008367665
1630	-28.5653	-23.7866	-4.77878	0.01	0.7505339	-2.266945	0.005408226
1640	-28.6701	-23.8966	-4.77354	0.01	0.738308	-2.117367	0.007631912
1650	-28.7079	-23.7609	-4.94698	0.01	0.9305931	-2.382911	0.004140848
1660	-29.9555	-23.0771	-6.87837	0.01	1.922004	-1.944795	0.01135546
1670	-28.8595	-23.5786	-5.28094	0.01	1.14311	-2.352858	0.004437533
1680	-31.3669	-26.5837	-4.78327	0.01	0.7595521	-1.688549	0.02048569
1690	-28.7157	-23.4523	-5.26332	0.01	1.13317	-2.202935	0.006267072
1700	-31.3717	-23.7832	-7.58851	0.01	2.255867	-2.602261	0.002498843
1710	-29.6208	-23.5053	-6.11554	0.01	1.564037	-2.428831	0.00372537
1720	-29.3348	-24.5451	-4.78972	0.01	0.7710239	-2.676563	0.002105898
1730	-31.49	-22.5233	-8.96672	0.01	2.929202	-1.870101	0.01348648
1740	-29.4964	-24.7244	-4.772	0.01	0.7342032	-1.897047	0.01267514
1750	-29.1967	-24.389	-4.80772	0.01	0.7977619	-2.627397	0.00235832
1760	-28.7854	-23.6998	-5.08558	0.01	1.026784	-2.382961	0.004140372
1770	-31.9112	-26.7969	-5.11427	0.01	1.044897	-3.280889	0.0005237349
1780	-29.0564	-24.1475	-4.90889	0.01	0.9001605	-2.556438	0.002776912
1790	-30.4714	-25.6652	-4.80613	0.01	0.5937038	-1.810422	0.01547311
1800	-30.5455	-24.5385	-6.00701	0.01	1.512229	-2.748253	0.001785448
1810	-28.6842	-23.5416	-5.14262	0.01	1.062376	-2.276362	0.005292219
1820	-28.9306	-24.1445	-4.78609	0.01	0.764744	-2.52742	0.002968794
1830	-30.3863	-23.1538	-7.2325	0.01	2.087839	-1.876915	0.01327655
1840	-28.8254	-24.0539	-4.77154	0.01	0.7328856	-2.477379	0.003331358
1850	-29.3671	-23.7507	-5.61639	0.01	1.320632	-1.924741	0.01189211
1860	-29.1603	-23.8023	-5.35806	0.01	1.185701	-1.952712	0.01115035
1870	-29.3017	-23.097	-6.20465	0.01	1.606297	-2.100939	0.007926126
1880	-29.4475	-23.0165	-6.43102	0.01	1.712857	-2.098983	0.007961906
1890	-28.9183	-24.1205	-4.79778	0.01	0.6026967	-2.469762	0.003390302
1900	-28.7119	-23.9186	-4.79334	0.01	0.6079937	-2.248697	0.005640306
1910	-28.5461	-23.7034	-4.84275	0.01	0.8389015	-2.230689	0.005879107
1920	-29.654	-24.8601	-4.79389	0.01	0.777798	-1.864244	0.01366962
1930	-28.8269	-24.0103	-4.8166	0.01	0.5837509	-2.161939	0.006887492
